Feed_ID,Feed_name,Catergory,Price(Won/kg),Concentrate(%),Forage(%),DM(%AF),NDF (%DM),Lignin (%NDF),CP (%DM),Sol-P (%CP),NPN (%Sol-P),NDICP (%CP),ADICP (%CP),Starch (%NSC),Crude fat (%DM),Crude ash (%DM),peNDF (%NDF),CHO-A (%/hr),CHO-B1 (%/hr),CHO-B2 (%/hr),CHO-C (%/hr),Protein-A (%/hr),Protein-B1 (%/hr),Protein-B2 (%/hr),Protein-B3 (%/hr),Protein-C (%/hr),ID-CHO-A (%),ID-CHO-B1 (%),ID-CHO-B2 (%),ID-CHO-C (%),ID-Protein-A (%),ID-Protein-B1 (%),ID-Protein-B2 (%),ID-Protein-B3 (%),ID-Protein-C (%),ID-Fat (%),ID-Ash (%),Methionine (%UIP),Lysine (%UIP),Arginine (%UIP),Threonine (%UIP),Leucine (%UIP),Isoleucine (%UIP),Valine (%UIP),Histidine (%UIP),Phenylalanine (%UIP),Tryptophan (%UIP),TDN (%DM),ME (Mcal/kg),NEm (Mcal/kg),NEg (Mcal/kg),RUP-3X (%CP),RUP-1X (%CP),Ca (%),P (%),Mg (%),Cl (%),K (%),Na (%),S (%),Co (mg/kg),Cu (mg/kg),I (mg/kg),Fe (mg/kg),Mn (mg/kg),Se (mg/kg),Zn (mg/kg),Vit A (1000 IU/kg),Vit D (1000 IU/kg),Vit E (IU/kg),Ca-Bio,P-Bio,Mg-Bio,Cl-Bio,K-Bio,Na-Bio,S-Bio,Co-Bio,Cu-Bio,I-Bio,Fe-Bio,Mn-Bio,Se-Bio,Zn-Bio,VitA-Bio,VitD-Bio,VitE-Bio,Starch,Sugar,Lactic,Acetic,Proprionic,Butyric,Isobutyric,pH,AmmoniaCPE
562,Tall FESCUE_09/22/13,Dry,0,0,100,92.33,79.43,9.17,6.37,33.75,96.1,26.23,11.23,42,0.83,7.11,100,250,30,3,0,100000,135,11,0.1,0,100,75,20,0,100,100,100,80,0,95,50,0.7,2.8,2.8,2.8,5.5,2.8,3.8,1,3.5,4.5,48.3,1.9,1.1,0.6,40.1,34.2,0.3,0.2,0.1,0,1.9,0,0,0,10.4,0,80,73,0,24,0,0,0,0.3,0.6,0.2,0.9,0.9,0.9,1,1,0.4,0.9,0.1,0,1,0.2,1,1,1,0,0,0,0,0,0,0,0,0
351,CORN_FINE_3__11/29/13,Starch,284,100,0,85.76,8.570429104,2.22,8.791977612,16,73,15,5,92.55529,3.882929104,1.305970149,80,300,30,6,0,100000,135,7,0.1,0,100,75,20,0,100,100,100,80,0,95,50,2.28329,3.25769,4.80862,3.49271,12.02056,3.44708,4.8622,3.02613,4.93501,0.76976,94.80860541,3.405678638,2.359934701,1.649813433,51,51,0.023320896,0.279850746,0.128264925,0.058302239,0.384794776,0.011660448,0.128264925,0.093283582,4.664179104,0.116604478,34.98134328,5.830223881,0.116604478,15.15858209,2.565298507,0,25.65298507,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
510,WHEAT_FINE_9__11/29/13,Starch,331.204,100,0,87.79,11.08326689,6.25,13.97653491,21,73,4,2,91.5,1.560542203,1.811140221,30,300,40,6,0,100000,300,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,1.79055,3.02689,4.97645,2.99747,7.07139,3.57832,4.55257,2.5639,5.02991,1.35542,92.91901128,3.294771614,2.271317918,1.576067889,24,24,0.068344914,0.375897027,0.11390819,0.079735733,0.467023579,0.034172457,0.205034742,0.091126552,6.8344914,0.102517371,52.3977674,42.1460303,0.273379656,39.8678665,0.45563276,0,17.0862285,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
449,RICE BRAN HIFAT_13__11/29/13,Energy,313.725,100,0,89.01,23.50297719,16.6,16.31277385,26,80,15.5,3.1,64.8,21.27850803,9.908998989,10,300,40,8,0,100000,250,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,1.99621,4.62452,7.79339,3.54366,6.85034,3.38092,5.21632,2.66701,4.35289,0.92865,94.40624649,3.677912594,2.574396135,1.825895967,45,45,0.146051006,1.68520391,0.84644422,0.078642849,1.995393776,0.011234693,0.202224469,0.112346927,11.23469273,0.056173464,176.3846759,256.1509943,0.449387709,33.70407819,1.68520391,0,67.40815639,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
378,GLUTEN FEED_LOC_26__11/29/13,Fiber,312.85,100,0,92.21,36.9916495,2.22,24.34660015,52,100,8,2,53,2.938943715,5.780284134,40,300,50,5,0,100000,150,4,0.5,0,100,75,20,0,100,100,100,80,0,95,50,1.57951,2.89541,4.30356,3.48098,8.39212,2.8939,4.5906,2.60976,3.44976,0.47234,82.99338467,2.904500596,1.952261143,1.30543325,28,28,0.216896215,0.965188157,0.390413187,0.238585837,1.084481076,0.28196508,0.412102809,0.097603297,7.591367531,0.075913675,136.6446156,31.4499512,0.29280989,73.74471315,2.602754582,0,21.68962152,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
457,SALT_42__11/29/13,Non calory,130,100,0,99.9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.720721,0,39.379379,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
405,MOLASSES_MIXER_46__11/29/13,Energy,224,100,0,77.16,0,0,7.089165,96.000008,100,0,0,0,0.129601,12.700881,0,500,30,3,0,100000,300,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0.518403,0.518403,0.259202,1.296008,1.425609,1.166407,2.462416,0.259202,0.648004,0.259202,85.472654,3.062558,2.08297,1.417276,40,40,0.933126,0.103681,0.388802,2.099533,4.173147,0.181441,0.453603,1.166407,9.072058,0.920166,235.87351,29.808191,0,9.072058,0,0,6.480041,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
357,COTTONSEED HULLS_AUS_108__11/29/13,Fiber,318.98,100,0,92.05,88.97338403,24,4.790874525,20,50,13,13,24,1.064638783,2.390005432,90,300,25,6,0,100000,175,11,0.09,0,100,75,20,0,100,100,100,80,0,95,50,1.6,4.8,7.7,3.9,5.5,3.2,4.8,2.7,4.5,1.2,47.12275937,1.573340576,0.734763715,0.200934275,51,51,0.108636611,0.065181966,0.325909832,0.032590983,1.195002716,0.021727322,0.217273221,0.02208,13.247958,0,131.37558,117.3275394,0.02,22.079929,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
459,SODIUM BICARBONATE_393__11/29/13,Non calory,360,100,0,98,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05102,0,0.010204,0,0.010204,24.591837,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
333,CORN FLAKED_768__11/29/13,Starch,269.963,100,0,84.55,8.953282082,2.22,8.338261384,9,73,15,5,92,4.79006505,1.360141928,80,300,30,6,0,100000,135,4,0.08,0,100,75,20,0,100,100,100,80,0,95,50,2.31589,3.30922,4.85603,3.52156,11.97277,3.44794,4.88014,3.07943,4.93362,0.78539,95.73814311,3.554240095,2.477445299,1.746717918,55,55,0.035481963,0.295683028,0.130100532,0.059136606,0.390301597,0.011827321,0.130100532,0.094618569,4.730928445,0.118273211,35.5174453,5.925487877,0.118273211,15.38734477,2.602010645,0,26.05558841,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
